  =  0.18269
кв =  0.00017
ке =  0.00046
кж =  0.00006
кз =  0.00001
ки =  0.00241
кк =  0.00007
кл =  0.00062
км =  0.00002
кн =  0.00058
ко =  0.00698
кр =  0.00199
кс =  0.00112
кт =  0.00042
ку =  0.00235
кц =  0.00001
кч =  0.00000
кш =  0.00001
кы =  0.00001
л  =  0.00877
ла =  0.00707
лб =  0.00003
лв =  0.00002
лг =  0.00015
лд =  0.00002
ле =  0.00608
лж =  0.00022
лз =  0.00002
ли =  0.00594
лй =  0.00001
лк =  0.00051
лл =  0.00006
лм =  0.00001
лн =  0.00044
ло =  0.00499
лп =  0.00002
лс =  0.00236
лт =  0.00009
лу =  0.00141
лч =  0.00020
лщ =  0.00000
лы =  0.00066
ль =  0.00334
лю =  0.00094
ля =  0.00143
м  =  0.00697
ма =  0.00479
мб =  0.00003
мв =  0.00001
мг =  0.00002
мд =  0.00001
ме =  0.00358
ми =  0.00234
мк =  0.00015
мл =  0.00022
мм =  0.00007
мн =  0.00174
мо =  0.00312
мп =  0.00013
мр =  0.00004
мс =  0.00011
мт =  0.00008
му =  0.00189
мф =  0.00001
мх =  0.00001
мц =  0.00001
мч =  0.00006
мш =  0.00001
мщ =  0.00000
мы =  0.00117
мь =  0.00021
мя =  0.00031
н  =  0.00385
на =  0.00998
нб =  0.00001
нв =  0.00002
нг =  0.00003
нд =  0.00015
не =  0.00947
нж =  0.00001
нз =  0.00003
ни =  0.00600
нк =  0.00038
нм =  0.00003
нн =  0.00167
но =  0.00890
нр =  0.00009
нс =  0.00017
нт =  0.00056
ну =  0.00390
нф =  0.00004
нц =  0.00017
нч =  0.00019
нщ =  0.00003
ны =  0.00235
нь =  0.00105
ню =  0.00022
ня =  0.00199
о  =  0.02018
об =  0.00294
ов =  0.00597
ог =  0.00400
од =  0.00466
ое =  0.00141
ож =  0.00184
оз =  0.00104
ои =  0.00095
ой =  0.00334
ок =  0.00241
ол =  0.00515
ом =  0.00502
он =  0.00667
оо =  0.00018
оп =  0.00122
ор =  0.00474
ос =  0.00498
от =  0.00639
оу =  0.00004
оф =  0.00011
ох =  0.00060
оц =  0.00012
оч =  0.00178
ош =  0.00086
ощ =  0.00054
оэ =  0.00003
ою =  0.00027
оя =  0.00061
п  =  0.00013
па =  0.00193
пе =  0.00192
пи =  0.00080
пк =  0.00017
пл =  0.00094
пн =  0.00014
по =  0.00926
пп =  0.00002
пр =  0.00536
пс =  0.00004
пт =  0.00021
пу =  0.00098
пц =  0.00000
пч =  0.00002
пы =  0.00031
пь =  0.00012
пю =  0.00001
пя =  0.00026
р  =  0.00192
ра =  0.00644
рб =  0.00003
рв =  0.00076
рг =  0.00012
рд =  0.00031
ре =  0.00491
рж =  0.00022
рз =  0.00006
ри =  0.00466
рк =  0.00050
рл =  0.00012
рм =  0.00017
рн =  0.00098
ро =  0.00678
рп =  0.00011
рр =  0.00002
рс =  0.00010
рт =  0.00055
ру =  0.00301
рф =  0.00001
рх =  0.00013
рц =  0.00008
рч =  0.00008
рш =  0.00012
рщ =  0.00002
ры =  0.00130
рь =  0.00074
рю =  0.00012
ря =  0.00134
с  =  0.00344
са =  0.00114
сб =  0.00009
св =  0.00126
сг =  0.00004
сд =  0.00029
се =  0.00339
сж =  0.00006
сз =  0.00003
си =  0.00260
сй =  0.00000
ск =  0.00245
сл =  0.00263
см =  0.00092
сн =  0.00101
со =  0.00221
сп =  0.00188
ср =  0.00022
сс =  0.00042
ст =  0.00888
су =  0.00071
сф =  0.00001
сх =  0.00021
сц =  0.00007
сч =  0.00020
сш =  0.00004
сщ =  0.00001
съ =  0.00004
сы =  0.00036
сь =  0.00323
сю =  0.00014
ся =  0.00480
т  =  0.00577
та =  0.00555
тб =  0.00007
тв =  0.00165
тг =  0.00003
тд =  0.00011
те =  0.00500
тз =  0.00000
ти =  0.00375
тй =  0.00001
тк =  0.00087
тл =  0.00018
тм =  0.00012
тн =  0.00100
то =  0.01093
тп =  0.00015
тр =  0.00294
тс =  0.00118
тт =  0.00009
ту =  0.00147
тф =  0.00002
тх =  0.00002
тц =  0.00014
тч =  0.00010
тш =  0.00002
тщ =  0.00000
тъ =  0.00001
ты =  0.00217
ть =  0.00564
тю =  0.00007
тя =  0.00067
у  =  0.00702
уа =  0.00003
уб =  0.00080
ув =  0.00066
уг =  0.00116
уд =  0.00184
уе =  0.00014
уж =  0.00163
уз =  0.00022
уи =  0.00001
уй =  0.00011
ук =  0.00105
ул =  0.00261
ум =  0.00098
ун =  0.00020
уп =  0.00070
ур =  0.00041
ус =  0.00143
ут =  0.00181
уу =  0.00006
уф =  0.00000
ух =  0.00049
уц =  0.00001
уч =  0.00085
уш =  0.00115
ущ =  0.00017
уэ =  0.00002
ую =  0.00079
уя =  0.00007
ф  =  0.00001
фа =  0.00006
фе =  0.00013
фи =  0.00017
фл =  0.00001
фо =  0.00030
фр =  0.00002
фс =  0.00000
фт =  0.00001
фу =  0.00002
фф =  0.00001
