  =  0.18269
ьш =  0.00049
ьщ =  0.00000
ью =  0.00037
ья =  0.00036
э  =  0.00001
эв =  0.00000
эй =  0.00003
эк =  0.00006
эл =  0.00000
эм =  0.00004
эн =  0.00009
эп =  0.00001
эр =  0.00000
эс =  0.00000
эт =  0.00165
эф =  0.00001
эх =  0.00002
ээ =  0.00000
ю  =  0.00215
юб =  0.00028
юв =  0.00003
юг =  0.00000
юд =  0.00042
юе =  0.00001
юж =  0.00001
юз =  0.00001
юк =  0.00007
юл =  0.00000
юм =  0.00003
юн =  0.00004
юп =  0.00000
юр =  0.00002
юс =  0.00015
ют =  0.00051
юу =  0.00000
юф =  0.00000
юх =  0.00003
юц =  0.00000
юч =  0.00011
юш =  0.00006
ющ =  0.00033
юю =  0.00003
я  =  0.01155
яб =  0.00002
яв =  0.00035
яг =  0.00020
яд =  0.00076
яе =  0.00013
яж =  0.00014
яз =  0.00019
яи =  0.00004
яй =  0.00005
як =  0.00021
ял =  0.00113
ям =  0.00040
ян =  0.00061
яо =  0.00000
яп =  0.00002
яр =  0.00007
яс =  0.00060
ят =  0.00123
яу =  0.00001
яф =  0.00000
ях =  0.00014
яц =  0.00003
яч =  0.00011
яш =  0.00014
ящ =  0.00017
яю =  0.00010
яя =  0.00012
Entropy with spaces (crossed) = 3.9665745822471186
R = 0.20668508355057624
аа =  0.00031
аб =  0.00218
ав =  0.00513
аг =  0.00124
ад =  0.00324
ае =  0.00197
аж =  0.00163
аз =  0.00460
аи =  0.00133
ай =  0.00094
ак =  0.00794
ал =  0.01126
ам =  0.00468
ан =  0.00601
ао =  0.00156
ап =  0.00338
ар =  0.00595
ас =  0.00675
ат =  0.00749
ау =  0.00072
аф =  0.00013
ах =  0.00134
ац =  0.00014
ач =  0.00178
аш =  0.00136
ащ =  0.00057
аэ =  0.00034
аю =  0.00101
ая =  0.00261
ба =  0.00145
бб =  0.00002
бв =  0.00006
бг =  0.00001
бд =  0.00004
бе =  0.00252
бж =  0.00002
бз =  0.00003
би =  0.00118
бк =  0.00022
бл =  0.00089
бм =  0.00007
бн =  0.00053
бо =  0.00317
бп =  0.00003
бр =  0.00132
бс =  0.00017
бт =  0.00001
бу =  0.00140
бх =  0.00006
бц =  0.00001
бч =  0.00002
бщ =  0.00023
бъ =  0.00012
бы =  0.00313
бь =  0.00005
бэ =  0.00005
бя =  0.00104
ва =  0.00918
вб =  0.00032
вв =  0.00034
вг =  0.00040
вд =  0.00075
ве =  0.00546
вж =  0.00009
вз =  0.00082
ви =  0.00324
вк =  0.00097
вл =  0.00106
вм =  0.00041
вн =  0.00189
во =  0.00741
вп =  0.00093
вр =  0.00103
вс =  0.00375
вт =  0.00068
ву =  0.00107
вф =  0.00001
вх =  0.00013
вц =  0.00005
вч =  0.00024
вш =  0.00052
вщ =  0.00003
въ =  0.00000
вы =  0.00297
вь =  0.00026
вэ =  0.00011
вя =  0.00024
га =  0.00135
гб =  0.00004
гв =  0.00008
гг =  0.00002
гд =  0.00132
ге =  0.00018
гз =  0.00003
ги =  0.00079
гк =  0.00018
гл =  0.00253
гм =  0.00003
гн =  0.00063
го =  0.00827
гп =  0.00015
гр =  0.00120
гс =  0.00013
гт =  0.00011
гу =  0.00076
гф =  0.00000
гх =  0.00000
гч =  0.00008
гш =  0.00001
гэ =  0.00001
гя =  0.00001
да =  0.00538
дб =  0.00009
дв =  0.00084
дг =  0.00006
дд =  0.00008
де =  0.00572
дж =  0.00005
дз =  0.00007
ди =  0.00364
дк =  0.00046
дл =  0.00060
дм =  0.00008
дн =  0.00208
до =  0.00457
дп =  0.00016
др =  0.00145
дс =  0.00034
дт =  0.00031
ду =  0.00209
дх =  0.00012
дц =  0.00024
дч =  0.00008
дш =  0.00003
дъ =  0.00005
ды =  0.00077
дь =  0.00042
дэ =  0.00003
дю =  0.00001
дя =  0.00048
еа =  0.00024
еб =  0.00329
ев =  0.00578
ег =  0.00430
ед =  0.00391
ее =  0.00170
еж =  0.00106
ез =  0.00252
еи =  0.00088
ей =  0.00258
ек =  0.00170
ел =  0.00743
ем =  0.00485
ен =  0.00780
ео =  0.00169
еп =  0.00322
ер =  0.00740
ес =  0.00601
ет =  0.00724
еу =  0.00089
еф =  0.00016
ех =  0.00085
ец =  0.00052
еч =  0.00128
еш =  0.00179
ещ =  0.00086
еэ =  0.00018
ею =  0.00017
ея =  0.00055
жа =  0.00137
жб =  0.00003
жв =  0.00002
жг =  0.00002
жд =  0.00078
же =  0.00427
жж =  0.00002
жз =  0.00002
жи =  0.00182
жк =  0.00017
жл =  0.00006
жм =  0.00006
жн =  0.00100
жо =  0.00012
жп =  0.00004
жр =  0.00002
жс =  0.00006
жт =  0.00009
жу =  0.00031
жх =  0.00002
жч =  0.00022
жь =  0.00002
жэ =  0.00001
жя =  0.00003
за =  0.00706
зб =  0.00025
зв =  0.00113
зг =  0.00050
зд =  0.00096
зе =  0.00049
зж =  0.00011
зз =  0.00017
зи =  0.00038
зк =  0.00046
зл =  0.00036
зм =  0.00040
зн =  0.00200
зо =  0.00070
зп =  0.00019
зр =  0.00031
зс =  0.00018
зт =  0.00011
зу =  0.00049
зф =  0.00000
зх =  0.00001
зц =  0.00001
зч =  0.00003
зш =  0.00002
зщ =  0.00000
зъ =  0.00000
зы =  0.00037
зь =  0.00017
зэ =  0.00002
зю =  0.00000
зя =  0.00038
иа =  0.00029
иб =  0.00117
ив =  0.00471
иг =  0.00122
ид =  0.00252
ие =  0.00231
иж =  0.00062
из =  0.00290
ии =  0.00128
ий =  0.00097
ик =  0.00319
ил =  0.00749
им =  0.00507
ин =  0.00560
ио =  0.00157
ип =  0.00259
ир =  0.00140
ис =  0.00481
ит =  0.00500
иу =  0.00068
иф =  0.00003
их =  0.00160
иц =  0.00096
ич =  0.00153
иш =  0.00136
ищ =  0.00024
иэ =  0.00018
ию =  0.00018
ия =  0.00093
йа =  0.00015
йб =  0.00028
йв =  0.00067
йг =  0.00032
йд =  0.00081
йе =  0.00012
йж =  0.00014
йз =  0.00022
йи =  0.00043
йк =  0.00058
йл =  0.00022
йм =  0.00047
йн =  0.00097
йо =  0.00048
йп =  0.00073
йр =  0.00034
йс =  0.00134
йт =  0.00072
йу =  0.00017
йф =  0.00004
йх =  0.00009
йц =  0.00007
йч =  0.00045
йш =  0.00010
йщ =  0.00001
йэ =  0.00011
йю =  0.00002
йя =  0.00006
ка =  0.00915
кб =  0.00033
кв =  0.00063
кг =  0.00010
кд =  0.00027
ке =  0.00067
кж =  0.00024
кз =  0.00017
ки =  0.00337
кк =  0.00025
кл =  0.00079
км =  0.00038
кн =  0.00134
ко =  0.00888
кп =  0.00042
кр =  0.00271
кс =  0.00205
кт =  0.00112
ку =  0.00299
кф =  0.00000
кх =  0.00007
кц =  0.00002
кч =  0.00017
кш =  0.00003
кы =  0.00001
кэ =  0.00005
кя =  0.00009
ла =  0.00879
лб =  0.00027
лв =  0.00099
лг =  0.00062
лд =  0.00050
ле =  0.00828
лж =  0.00035
лз =  0.00033
ли =  0.00776
лй =  0.00001
лк =  0.00128
лл =  0.00041
лм =  0.00064
лн =  0.00151
ло =  0.00715
лп =  0.00079
лр =  0.00035
лс =  0.00365
лт =  0.00059
лу =  0.00186
лф =  0.00002
лх =  0.00006
лц =  0.00000
лч =  0.00054
лш =  0.00014
лщ =  0.00000
лы =  0.00089
ль =  0.00395
лэ =  0.00010
лю =  0.00123
ля =  0.00185
ма =  0.00615
мб =  0.00032
мв =  0.00075
мг =  0.00026
мд =  0.00046
ме =  0.00447
мж =  0.00015
мз =  0.00025
ми =  0.00345
мк =  0.00049
мл =  0.00050
мм =  0.00038
мн =  0.00289
мо =  0.00453
мп =  0.00106
мр =  0.00029
мс =  0.00109
мт =  0.00049
му =  0.00252
мф =  0.00003
мх =  0.00006
мц =  0.00001
мч =  0.00032
мш =  0.00005
мщ =  0.00002
мы =  0.00149
мь =  0.00024
мэ =  0.00010
мя =  0.00050
на =  0.01262
нб =  0.00021
нв =  0.00037
нг =  0.00014
нд =  0.00041
не =  0.01164
нж =  0.00007
нз =  0.00028
ни =  0.00780
нй =  0.00001
нк =  0.00066
нл =  0.00005
нм =  0.00022
нн =  0.00281
но =  0.01108
нп =  0.00057
нр =  0.00023
нс =  0.00075
нт =  0.00088
ну =  0.00492
нф =  0.00005
нх =  0.00005
нц =  0.00021
нч =  0.00036
нш =  0.00003
нщ =  0.00004
ны =  0.00271
нь =  0.00142
нэ =  0.00003
ню =  0.00024
ня =  0.00237
оа =  0.00018
об =  0.00454
ов =  0.00941
ог =  0.00551
од =  0.00656
ое =  0.00249
ож =  0.00276
оз =  0.00211
ои =  0.00195
ой =  0.00409
ок =  0.00372
ол =  0.00694
ом =  0.00727
он =  0.01035
оо =  0.00206
оп =  0.00397
ор =  0.00631
ос =  0.00879
от =  0.00923
оу =  0.00087
оф =  0.00018
ох =  0.00103
оц =  0.00019
оч =  0.00286
ош =  0.00121
ощ =  0.00079
оэ =  0.00036
ою =  0.00032
оя =  0.00112
па =  0.00231
пб =  0.00001
пв =  0.00003
пд =  0.00002
пе =  0.00235
пз =  0.00000
пи =  0.00112
пк =  0.00021
пл =  0.00111
пм =  0.00002
пн =  0.00020
по =  0.01137
пп =  0.00002
пр =  0.00677
пс =  0.00006
пт =  0.00031
пу =  0.00109
пц =  0.00001
пч =  0.00003
пы =  0.00035
пь =  0.00011
пю =  0.00001
пя =  0.00032
ра =  0.00792
рб =  0.00010
рв =  0.00111
рг =  0.00018
рд =  0.00043
ре =  0.00599
рж =  0.00026
рз =  0.00018
ри =  0.00559
рк =  0.00066
рл =  0.00021
рм =  0.00027
рн =  0.00141
ро =  0.00862
рп =  0.00048
рр =  0.00010
рс =  0.00039
рт =  0.00077
ру =  0.00392
рф =  0.00003
рх =  0.00016
рц =  0.00008
рч =  0.00015
рш =  0.00016
рщ =  0.00002
ры =  0.00153
рь =  0.00092
рэ =  0.00000
рю =  0.00018
ря =  0.00170
са =  0.00152
сб =  0.00028
св =  0.00185
сг =  0.00022
сд =  0.00054
се =  0.00409
сж =  0.00016
сз =  0.00013
си =  0.00311
ск =  0.00310
сл =  0.00334
см =  0.00128
сн =  0.00190
со =  0.00285
сп =  0.00268
ср =  0.00042
сс =  0.00082
ст =  0.01116
су =  0.00088
сф =  0.00004
сх =  0.00031
сц =  0.00009
сч =  0.00030
сш =  0.00009
сщ =  0.00001
съ =  0.00005
сы =  0.00039
сь =  0.00406
сэ =  0.00007
сю =  0.00018
ся =  0.00612
та =  0.00710
тб =  0.00034
тв =  0.00256
тг =  0.00023
тд =  0.00048
те =  0.00645
тж =  0.00019
тз =  0.00019
ти =  0.00515
тй =  0.00000
тк =  0.00145
тл =  0.00039
тм =  0.00051
тн =  0.00183
то =  0.01375
тп =  0.00077
тр =  0.00377
тс =  0.00194
тт =  0.00052
ту =  0.00197
тф =  0.00005
тх =  0.00014
тц =  0.00016
тч =  0.00037
тш =  0.00005
тщ =  0.00002
ты =  0.00273
ть =  0.00667
тэ =  0.00011
тю =  0.00007
тя =  0.00103
уа =  0.00016
уб =  0.00128
ув =  0.00158
уг =  0.00141
уд =  0.00287
уе =  0.00036
уж =  0.00220
уз =  0.00056
уи =  0.00075
уй =  0.00016
ук =  0.00185
ул =  0.00356
ум =  0.00178
ун =  0.00120
уо =  0.00051
уп =  0.00154
ур =  0.00067
ус =  0.00243
ут =  0.00279
уу =  0.00026
уф =  0.00003
ух =  0.00066
уц =  0.00001
уч =  0.00122
уш =  0.00136
ущ =  0.00028
уэ =  0.00013
ую =  0.00105
уя =  0.00022
фа =  0.00006
фе =  0.00015
фи =  0.00018
фл =  0.00001
фн =  0.00000
фо =  0.00041
фп =  0.00000
фр =  0.00002
фс =  0.00000
фт =  0.00000
фу =  0.00002
фф =  0.00002
фч =  0.00003
фы =  0.00001
фь =  0.00002
фэ =  0.00000
ха =  0.00052
хб =  0.00010
хв =  0.00059
хг =  0.00009
хд =  0.00021
хе =  0.00010
хж =  0.00003
хз =  0.00010
хи =  0.00035
хк =  0.00022
хл =  0.00034
хм =  0.00027
хн =  0.00062
хо =  0.00329
хп =  0.00028
хр =  0.00022
хс =  0.00039
хт =  0.00024
ху =  0.00028
хф =  0.00000
хх =  0.00003
хч =  0.00004
хш =  0.00005
хщ =  0.00001
хъ =  0.00001
хэ =  0.00004
хя =  0.00003
ца =  0.00063
цб =  0.00001
цв =  0.00015
цг =  0.00001
цд =  0.00003
це =  0.00070
цж =  0.00000
цз =  0.00002
ци =  0.00030
цк =  0.00004
цл =  0.00001
цм =  0.00002
цн =  0.00004
цо =  0.00035
цп =  0.00006
цр =  0.00001
цс =  0.00005
цт =  0.00003
цу =  0.00018
цч =  0.00002
цш =  0.00000
цы =  0.00025
ця =  0.00001
ча =  0.00203
чб =  0.00001
чв =  0.00002
чг =  0.00000
чд =  0.00001
че =  0.00303
чи =  0.00189
чк =  0.00053
чл =  0.00003
чм =  0.00006
чн =  0.00088
чо =  0.00019
чп =  0.00002
чр =  0.00011
чс =  0.00003
чт =  0.00357
чу =  0.00072
чш =  0.00024
чь =  0.00029
ша =  0.00199
шб =  0.00001
шв =  0.00002
шг =  0.00001
шд =  0.00002
ше =  0.00198
шз =  0.00001
ши =  0.00173
шк =  0.00098
шл =  0.00060
шм =  0.00046
шн =  0.00042
шо =  0.00039
шп =  0.00004
шр =  0.00001
шс =  0.00000
шт =  0.00011
шу =  0.00031
шх =  0.00000
шц =  0.00001
шч =  0.00000
шь =  0.00156
шя =  0.00000
ща =  0.00055
щб =  0.00001
щв =  0.00001
щг =  0.00002
щд =  0.00003
ще =  0.00157
щж =  0.00001
щз =  0.00001
щи =  0.00090
щк =  0.00003
щл =  0.00001
щм =  0.00002
щн =  0.00016
що =  0.00003
щп =  0.00000
щр =  0.00000
щс =  0.00005
щт =  0.00001
щу =  0.00019
щч =  0.00002
щщ =  0.00001
щь =  0.00004
щэ =  0.00000
ъе =  0.00012
ъи =  0.00000
ъм =  0.00000
ъя =  0.00010
ыа =  0.00006
ыб =  0.00050
ыв =  0.00158
ыг =  0.00023
ыд =  0.00048
ые =  0.00117
ыж =  0.00018
ыз =  0.00035
ыи =  0.00031
ый =  0.00143
ык =  0.00046
ыл =  0.00201
ым =  0.00136
ын =  0.00086
ыо =  0.00038
ып =  0.00071
ыр =  0.00037
ыс =  0.00134
ыт =  0.00118
ыу =  0.00025
ыф =  0.00001
ых =  0.00085
ыц =  0.00000
ыч =  0.00031
ыш =  0.00104
ыщ =  0.00001
ыэ =  0.00007
ыя =  0.00009
ьа =  0.00022
ьб =  0.00054
ьв =  0.00118
ьг =  0.00030
ьд =  0.00070
ье =  0.00072
ьж =  0.00013
ьз =  0.00061
ьи =  0.00091
ьй =  0.00004
ьк =  0.00223
ьл =  0.00038
ьм =  0.00080
ьн =  0.00289
ьо =  0.00096
ьп =  0.00102
ьр =  0.00031
ьс =  0.00246
ьт =  0.00094
ьу =  0.00028
ьф =  0.00003
ьх =  0.00008
ьц =  0.00012
ьч =  0.00053
ьш =  0.00067
ьщ =  0.00002
ьэ =  0.00022
ью =  0.00048
ья =  0.00060
эй =  0.00004
эк =  0.00006
эл =  0.00000
эм =  0.00003
эн =  0.00014
эп =  0.00000
эр =  0.00000
эс =  0.00000
эт =  0.00193
эф =  0.00000
эх =  0.00002
эч =  0.00000
ээ =  0.00000
юа =  0.00006
юб =  0.00031
юв =  0.00022
юг =  0.00005
юд =  0.00074
юе =  0.00005
юж =  0.00008
юз =  0.00007
юи =  0.00017
юк =  0.00026
юл =  0.00010
юм =  0.00014
юн =  0.00027
юо =  0.00017
юп =  0.00024
юр =  0.00013
юс =  0.00036
ют =  0.00080
юу =  0.00005
юф =  0.00002
юх =  0.00005
юц =  0.00001
юч =  0.00020
юш =  0.00010
ющ =  0.00042
юэ =  0.00002
юю =  0.00004
юя =  0.00006
яа =  0.00019
яб =  0.00056
яв =  0.00201
яг =  0.00056
яд =  0.00152
яе =  0.00051
яж =  0.00037
яз =  0.00074
яи =  0.00084
яй =  0.00006
як =  0.00108
ял =  0.00172
ям =  0.00103
ян =  0.00237
яо =  0.00086
яп =  0.00132
яр =  0.00039
яс =  0.00215
ят =  0.00215
яу =  0.00037
яф =  0.00003
ях =  0.00029
яц =  0.00004
яч =  0.00050
яш =  0.00025
ящ =  0.00022
яэ =  0.00008
яю =  0.00012
яя =  0.00028
Entropy without spaces = 4.154073651161985
R = 0.16918526976760295
аа =  0.00034
аб =  0.00232
ав =  0.00522
аг =  0.00122
ад =  0.00312
ае =  0.00202
аж =  0.00161
аз =  0.00442
аи =  0.00138
ай =  0.00098
ак =  0.00809
ал =  0.01111
ам =  0.00478
ан =  0.00622
ао =  0.00158
ап =  0.00351
ар =  0.00595
ас =  0.00678
ат =  0.00752
ау =  0.00075
аф =  0.00014
ах =  0.00139
ац =  0.00015
ач =  0.00185
аш =  0.00131
ащ =  0.00056
аэ =  0.00032
аю =  0.00100
ая =  0.00266
ба =  0.00141
бб =  0.00002
бв =  0.00007
бг =  0.00001
бд =  0.00004
бе =  0.00258
бж =  0.00002
бз =  0.00002
би =  0.00112
бк =  0.00024
бл =  0.00084
бм =  0.00007
бн =  0.00049
бо =  0.00312
бп =  0.00003
бр =  0.00132
бс =  0.00015
бт =  0.00002
бу =  0.00142
бх =  0.00006
бц =  0.00002
бч =  0.00003
бш =  0.00000
бщ =  0.00024
бъ =  0.00011
бы =  0.00304
бь =  0.00007
бэ =  0.00005
бя =  0.00102
ва =  0.00912
вб =  0.00026
вв =  0.00035
вг =  0.00041
вд =  0.00074
ве =  0.00530
вж =  0.00008
вз =  0.00080
ви =  0.00327
вк =  0.00094
вл =  0.00107
вм =  0.00043
вн =  0.00172
во =  0.00753
вп =  0.00088
вр =  0.00100
вс =  0.00374
вт =  0.00070
ву =  0.00113
вф =  0.00002
вх =  0.00013
вц =  0.00006
вч =  0.00023
вш =  0.00052
вщ =  0.00002
въ =  0.00000
вы =  0.00297
вь =  0.00027
вэ =  0.00012
вю =  0.00000
вя =  0.00026
га =  0.00133
гб =  0.00005
гв =  0.00008
гг =  0.00002
гд =  0.00137
ге =  0.00017
гз =  0.00005
ги =  0.00081
гк =  0.00017
гл =  0.00251
гм =  0.00002
гн =  0.00061
го =  0.00826
гп =  0.00015
гр =  0.00123
гс =  0.00014
гт =  0.00011
гу =  0.00077
гф =  0.00000
гх =  0.00000
гч =  0.00008
гш =  0.00000
гэ =  0.00001
гя =  0.00001
да =  0.00532
дб =  0.00010
дв =  0.00088
дг =  0.00007
дд =  0.00010
де =  0.00557
дж =  0.00006
дз =  0.00006
ди =  0.00366
дк =  0.00041
дл =  0.00063
дм =  0.00009
дн =  0.00209
до =  0.00472
дп =  0.00016
др =  0.00148
дс =  0.00036
дт =  0.00034
ду =  0.00216
дх =  0.00012
дц =  0.00024
дч =  0.00006
дш =  0.00003
дъ =  0.00006
ды =  0.00071
дь =  0.00048
дэ =  0.00002
дю =  0.00001
дя =  0.00050
еа =  0.00025
еб =  0.00326
ев =  0.00568
ег =  0.00427
ед =  0.00383
ее =  0.00165
еж =  0.00106
ез =  0.00256
еи =  0.00087
ей =  0.00251
ек =  0.00176
ел =  0.00753
ем =  0.00490
ен =  0.00801
ео =  0.00169
еп =  0.00331
ер =  0.00735
ес =  0.00598
ет =  0.00747
еу =  0.00081
еф =  0.00021
ех =  0.00090
ец =  0.00048
еч =  0.00127
еш =  0.00183
ещ =  0.00089
еэ =  0.00019
ею =  0.00017
ея =  0.00056
жа =  0.00138
жб =  0.00003
жв =  0.00003
жг =  0.00003
жд =  0.00076
же =  0.00435
жж =  0.00001
жз =  0.00002
жи =  0.00187
жк =  0.00016
жл =  0.00007
жм =  0.00006
жн =  0.00102
жо =  0.00013
жп =  0.00005
жр =  0.00002
жс =  0.00004
жт =  0.00008
жу =  0.00031
жх =  0.00001
жч =  0.00022
жь =  0.00003
жэ =  0.00002
жя =  0.00002
за =  0.00706
зб =  0.00023
зв =  0.00112
зг =  0.00044
зд =  0.00100
зе =  0.00050
зж =  0.00009
зз =  0.00018
зи =  0.00039
зк =  0.00044
зл =  0.00039
зм =  0.00039
зн =  0.00195
зо =  0.00073
зп =  0.00023
зр =  0.00032
зс =  0.00016
зт =  0.00014
зу =  0.00055
зф =  0.00000
зх =  0.00001
зц =  0.00001
зч =  0.00003
зш =  0.00002
зщ =  0.00000
зъ =  0.00001
зы =  0.00040
зь =  0.00017
зэ =  0.00002
зю =  0.00000
зя =  0.00040
иа =  0.00027
иб =  0.00123
ив =  0.00470
иг =  0.00120
ид =  0.00259
ие =  0.00225
иж =  0.00060
из =  0.00288
ии =  0.00130
ий =  0.00092
ик =  0.00313
ил =  0.00769
им =  0.00509
ин =  0.00566
ио =  0.00148
ип =  0.00245
ир =  0.00145
ис =  0.00484
ит =  0.00508
иу =  0.00063
иф =  0.00004
их =  0.00174
иц =  0.00092
ич =  0.00145
иш =  0.00139
ищ =  0.00021
иэ =  0.00018
ию =  0.00017
ия =  0.00098
йа =  0.00013
йб =  0.00030
йв =  0.00066
йг =  0.00031
йд =  0.00080
йе =  0.00013
йж =  0.00015
йз =  0.00024
йи =  0.00043
йй =  0.00000
йк =  0.00068
йл =  0.00027
йм =  0.00045
йн =  0.00093
йо =  0.00050
йп =  0.00077
йр =  0.00034
йс =  0.00128
йт =  0.00074
йу =  0.00020
йф =  0.00003
йх =  0.00008
йц =  0.00007
йч =  0.00045
йш =  0.00010
йщ =  0.00001
йэ =  0.00010
йю =  0.00001
йя =  0.00008
ка =  0.00901
кб =  0.00032
кв =  0.00064
кг =  0.00012
кд =  0.00026
ке =  0.00071
кж =  0.00022
кз =  0.00016
ки =  0.00341
кк =  0.00027
кл =  0.00084
км =  0.00039
кн =  0.00135
ко =  0.00876
кп =  0.00042
кр =  0.00268
кс =  0.00193
кт =  0.00100
ку =  0.00294
кф =  0.00001
кх =  0.00006
кц =  0.00002
кч =  0.00016
кш =  0.00003
кы =  0.00001
кэ =  0.00006
кя =  0.00007
ла =  0.00863
лб =  0.00027
лв =  0.00101
лг =  0.00058
лд =  0.00049
ле =  0.00821
лж =  0.00033
лз =  0.00039
ли =  0.00780
лй =  0.00001
лк =  0.00131
лл =  0.00036
лм =  0.00071
лн =  0.00152
ло =  0.00709
лп =  0.00073
лр =  0.00034
лс =  0.00384
лт =  0.00058
лу =  0.00177
лф =  0.00002
лх =  0.00005
лц =  0.00000
лч =  0.00058
лш =  0.00015
лщ =  0.00000
лы =  0.00086
ль =  0.00397
лэ =  0.00008
лю =  0.00119
ля =  0.00182
ма =  0.00611
мб =  0.00030
мв =  0.00076
мг =  0.00026
мд =  0.00047
ме =  0.00445
мж =  0.00013
мз =  0.00031
ми =  0.00325
мк =  0.00052
мл =  0.00048
мм =  0.00043
мн =  0.00297
мо =  0.00452
мп =  0.00106
мр =  0.00026
мс =  0.00112
мт =  0.00045
му =  0.00256
мф =  0.00003
мх =  0.00006
мц =  0.00002
мч =  0.00030
мш =  0.00006
мщ =  0.00002
мы =  0.00144
мь =  0.00027
мэ =  0.00008
мя =  0.00050
на =  0.01247
нб =  0.00022
нв =  0.00041
нг =  0.00011
нд =  0.00040
не =  0.01159
нж =  0.00007
нз =  0.00027
ни =  0.00777
нй =  0.00000
нк =  0.00059
нл =  0.00005
нм =  0.00021
нн =  0.00264
но =  0.01113
нп =  0.00059
нр =  0.00023
нс =  0.00078
нт =  0.00085
ну =  0.00498
нф =  0.00004
нх =  0.00006
нц =  0.00019
нч =  0.00031
нш =  0.00003
нщ =  0.00005
ны =  0.00281
нь =  0.00133
нэ =  0.00003
ню =  0.00024
ня =  0.00245
оа =  0.00019
об =  0.00468
ов =  0.00942
ог =  0.00550
од =  0.00663
ое =  0.00235
ож =  0.00272
оз =  0.00211
ои =  0.00193
ой =  0.00412
ок =  0.00385
ол =  0.00703
ом =  0.00716
он =  0.01053
оо =  0.00207
оп =  0.00400
ор =  0.00637
ос =  0.00860
от =  0.00936
оу =  0.00081
оф =  0.00019
ох =  0.00096
оц =  0.00019
оч =  0.00281
ош =  0.00113
ощ =  0.00073
оэ =  0.00038
ою =  0.00032
оя =  0.00112
па =  0.00235
пб =  0.00001
пв =  0.00002
пд =  0.00001
пе =  0.00233
пж =  0.00000
пз =  0.00000
пи =  0.00112
пк =  0.00026
пл =  0.00117
пм =  0.00001
пн =  0.00019
по =  0.01119
пп =  0.00003
пр =  0.00666
пс =  0.00006
пт =  0.00027
пу =  0.00110
пх =  0.00000
пц =  0.00000
пч =  0.00003
пш =  0.00000
пы =  0.00035
пь =  0.00013
пэ =  0.00000
пю =  0.00002
пя =  0.00031
ра =  0.00808
рб =  0.00009
рв =  0.00114
рг =  0.00017
рд =  0.00044
ре =  0.00600
рж =  0.00026
рз =  0.00019
ри =  0.00567
рк =  0.00065
рл =  0.00020
рм =  0.00027
рн =  0.00140
ро =  0.00858
рп =  0.00048
рр =  0.00009
рс =  0.00037
рт =  0.00079
ру =  0.00384
рф =  0.00002
рх =  0.00016
рц =  0.00010
рч =  0.00016
рш =  0.00015
рщ =  0.00003
ры =  0.00156
рь =  0.00088
рэ =  0.00001
рю =  0.00016
ря =  0.00165
са =  0.00144
сб =  0.00025
св =  0.00187
сг =  0.00020
сд =  0.00060
се =  0.00418
сж =  0.00016
сз =  0.00013
си =  0.00322
сй =  0.00000
ск =  0.00327
сл =  0.00330
см =  0.00132
сн =  0.00186
со =  0.00286
сп =  0.00267
ср =  0.00041
сс =  0.00084
ст =  0.01118
су =  0.00099
сф =  0.00004
сх =  0.00030
сц =  0.00008
сч =  0.00031
сш =  0.00009
сщ =  0.00001
съ =  0.00004
сы =  0.00045
сь =  0.00399
сэ =  0.00006
сю =  0.00019
ся =  0.00588
та =  0.00692
тб =  0.00036
тв =  0.00261
тг =  0.00021
тд =  0.00047
те =  0.00631
тж =  0.00019
тз =  0.00018
ти =  0.00499
тй =  0.00001
тк =  0.00144
тл =  0.00036
тм =  0.00047
тн =  0.00182
то =  0.01389
тп =  0.00072
тр =  0.00382
тс =  0.00201
тт =  0.00053
ту =  0.00189
тф =  0.00004
тх =  0.00012
тц =  0.00017
тч =  0.00037
тш =  0.00005
тщ =  0.00002
тъ =  0.00000
ты =  0.00274
ть =  0.00687
тэ =  0.00011
тю =  0.00009
тя =  0.00100
уа =  0.00017
уб =  0.00127
ув =  0.00152
уг =  0.00152
уд =  0.00276
уе =  0.00030
уж =  0.00217
уз =  0.00055
уи =  0.00074
уй =  0.00015
ук =  0.00179
ул =  0.00345
ум =  0.00174
ун =  0.00132
уо =  0.00051
уп =  0.00160
ур =  0.00070
ус =  0.00254
ут =  0.00268
уу =  0.00026
уф =  0.00002
ух =  0.00066
уц =  0.00001
уч =  0.00128
уш =  0.00142
ущ =  0.00025
уэ =  0.00012
ую =  0.00104
уя =  0.00020
фа =  0.00007
фе =  0.00016
фи =  0.00017
фл =  0.00002
фм =  0.00001
фн =  0.00000
фо =  0.00039
фп =  0.00000
фр =  0.00002
фс =  0.00000
фт =  0.00001
фу =  0.00003
фф =  0.00001
фч =  0.00002
фы =  0.00001
фь =  0.00002
фэ =  0.00000
ха =  0.00055
хб =  0.00010
хв =  0.00060
хг =  0.00010
хд =  0.00019
хе =  0.00010
хж =  0.00004
хз =  0.00012
хи =  0.00034
хк =  0.00019
хл =  0.00033
хм =  0.00027
хн =  0.00062
хо =  0.00325
хп =  0.00029
хр =  0.00019
хс =  0.00033
хт =  0.00021
ху =  0.00026
хф =  0.00000
хх =  0.00002
хч =  0.00003
хш =  0.00005
хщ =  0.00001
хъ =  0.00000
хэ =  0.00003
хя =  0.00003
ца =  0.00060
цб =  0.00001
цв =  0.00016
цг =  0.00000
цд =  0.00003
це =  0.00074
цж =  0.00000
цз =  0.00002
ци =  0.00026
